p	h	t
aeromodelo	de	aeromodelo (ê) sm (aero+modelo) 1 Modelo de aeronave. 2 Aeronave em miniatura, para brinquedo, concursos esportivos ou exposições, com propulsão a elástico, motor, ar comprimido, gasolina, vapor ou foguete, ou simplesmente planador.
aeronauta	Pessoa	s.m. e s.f. Pessoa que pratica a navegação aérea.
aeronautica	Ciência	s.f. Ciência da navegação aérea.
aeronautica	Técnica	Técnica de construção dos aviões e engenhos aéreos.
aeroporto	instalações	s.m. Conjunto das instalações preparadas para o tráfego das linhas de transportes aéreos; aeródromo.
aerostato	Aparelho	s.m. Aparelho cheio de um gás mais leve do que o ar, e que pode, por isso, elevar-se e sustentar-se na atmosfera; balão.
afabilidade	Característica	s.m. Característica ou ação de quem é afável; qualidade da pessoa que é cortês ou demonstra cortesia: a afabilidade de suas ações comoveu os participantes.
afago	Ação	s.m. Ação de afagar; ato de demonstrar carinho; carícia ou carinho.
afago	Comportamento	Comportamento ou gesto afetuoso; que demonstra amabilidade ou cordialidade por algo ou alguém: acolheu o genro com afago; tratava seus cães com muitos afagos.
afastamento	Ação	s.m. Ação de afastar: afastamento dos negócios.
afastamento	Estado	Estado do que está longe: o seu afastamento foi temporário.
afeicao	Relação	s.f. Relação afetiva; sentimento carinhoso em relação a; apego demonstrado por; afeiçoamento.
aferido	Comparado;	Comparado; que foi alvo de comparação entre uma coisa e outra.
afetacao	Fingimento;	Fingimento; que exagera na forma como expressa seus sentimentos.
afeto	Sentimento	s.m. Sentimento de imenso carinho que se tem por alguém ou por algum animal; amizade.
aficionado	Amador	s.m. (pal. esp.) Amador de touradas, de esportes, de uma arte.
afinidade	Tendência Química  Tendência dos corpos a se combinarem: o carbono tem afinidade pelo oxigênio.
afirmacao	Ação	s.f. Ação de afirmar; o que se afirma; asseveração, afirmativa.
afirmativa	Declaração	s.f. Declaração que assevera, que confirma; afirmação, confirmação.
aflicao	Condição	s.f. Condição de quem está aflito.
aflicao	Sofrimento	Sofrimento causado pelo desgosto; tristeza ocasionada por alguma dificuldade.
afluencia	Corrente	s.f. Corrente caudalosa de águas.
afluxo	Ação	s.m. Ação ou efeito de afluir; afluência.
afobacao	pressa.	s.f. Bras. Pop. Precipitação, pressa.
afresco	Técnica	s.m. Técnica de pintar com os pigmentos das tintas dissolvidos em água e aplicados sobre o revestimento ainda úmido da parede, ao qual se incorporam, adquirindo firmeza, depois de secos.
afrodisiaco	substâncias	adj. e s.m. Diz-se das substâncias ou medicamentos que restauram ou aumentam o apetite sexual.
afronta	Injúria	s.f. Injúria pública; ofensa, ultraje: sofrer uma afronta; dirigir afrontas aos amigos.
afundamento	Ação	s.m. Ação de afundar ou de afundar-se.
agasalho	Ato	s.m. Ato ou efeito de agasalhar; acolhimento, hospedagem.
agasalho	Abrigo.	Abrigo.
agasalho	Roupa	Roupa que protege da chuva ou do frio (capa, suéter, casaco).
agave	Planta	s.f. Bot. Planta originária da América Central, cultivada nas regiões quentes, que permanece muitas dezenas de anos em estado vegetativo para florescer uma única vez. Nome vulgar: piteira, pita.  As agaves possuem um tufo de folhas espessas, carnosas e fibrosas. Do centro do tufo, ergue-se uma haste, no alto da qual se prendem as flores, formando uma inflorescência.
agencia	Estabelecimento	Estabelecimento que se encarrega de trabalhos por conta de terceiros: agência de empregos.
agencia	empresa	Filial de banco ou empresa comercial.
agenda	Caderneta	s.f. Caderneta ou livrinho destinado a anotar, dia a dia, aquilo que se deve fazer.
agente	Pessoa	Pessoa que dirige e administra de uma agência.
agente	responsável	Pessoa ou organização responsável pelos negócios de outra instituição ou pessoa.
agilidade	Característica,	s.f. Característica, particularidade ou estado de ágil; presteza ou ligeireza.
agio	Juro	Juro excessivo cobrado por empréstimos feitos em dinheiro; usura.
agiotagem	Especulação	s.f. Especulação sobre fundos ou mercadorias com vistas a lucros exagerados.
agitacao	Atividade	s.f. Atividade desordenada.
agitacao	Movimento	Movimento prolongado: a agitação do mar.
agitacao	Movimento	Movimento da rua, de uma multidão.
aglutinacao	Ação	s.f. Ação de aglutinar.
agnosticismo	Doutrina	s.m. Filosofia. Doutrina que declara o absoluto inacessível ao espírito humano ou que considera vã qualquer metafísica e qualquer ideologia religiosa, uma vez que alguns desses preceitos ou ideologias não podem ser comprovados empiricamente.
agogo	Instrumento	s.m. Bras. Instrumento de percussão em forma de ferradura arrematada por duas campânulas de ferro. (É originário da África.)
agouro	Ação	s.m. P.ext. Ação de prever o que acontecerá no futuro; vaticínio.
agradecimento	Ação	s.m. Ação ou efeito de agradecer; em que há reconhecimento do bem feito por alguém; gratidão.
agradecimento	maneira	P.ext. A maneira utilizada para expressar essa gratidão; diz-se das palavras (escritas ou ditas), do discurso, do gesto ou comportamento utilizados para expressar gratidão.
agrado	Carinho,	Bras. Carinho, afago, festas: fazia agrados ao cachorro.
agregado	Tudo	s.m. Tudo o que se caracteriza pela reunião de; aglomerado.
agregado	Pessoa	Brasil. Pessoa que participa do convívio familiar como se fosse membro da família.
agremiacao	sociedade	Clube; sociedade de pessoas que, habitualmente, se encontram num determinado local para atividades recreativas, culturais, esportivas etc.: agremiação esportiva.
agressao	Ação	s.f. Ação ou efeito de agredir.
agressao	hostilidade;	Ação que demonstra hostilidade; em que há provocação.
agriao	diversas	s.m. Botânica. Nome dado a diversas ervas da família da mostarda.  É utilizado em saladas e na guarnição de pratos de carne.
agricultura	Atividade	s.f. Atividade que tem o propósito de cultivar o solo, buscando produzir vegetais que deverão ser consumidos pelo homem, para a criação de animais ou utilizados como matérias-primas para a indústria; lavoura.
agronomo	Indivíduo	s.m. Agricultura. Indivíduo que se especializou ou se diplomou em agronomia.
agropecuaria	Estudo,	s.f. Estudo, teoria e prática da agricultura e da pecuária, em suas relações recíprocas.
agrotoxico	(Produto	adj. e s.m. (Produto químico) usado no combate e prevenção de pragas agrícolas; defensivo agrícola.
agua	Líquido	s.f. Líquido incolor, sem cor, e inodoro, sem cheiro, composto de hidrogênio e oxigênio (H2O).
aguape	Vinho	s.m. Vinho ordinário, muito aguado.
aguardente	Bebida	s.f. Bebida alcoólica, extraída da cana-de-açúcar, da cidra, do trigo, da batata etc.; cachaça.
agudeza	Propriedade	s.f. Propriedade do que é agudo.
aguia	Ave	s.f. Ave de rapina de grande porte (envergadura 2,50 m), que habita as altas montanhas. (Ordem dos falconídeos.)
agulha	Hastezinha	s.f. Hastezinha de aço temperado e polido, aguçada numa das extremidades e perfurada na outra, por onde passa a linha para coser; hastezinha de aço ou outro material que serve para diversos usos:
agulhada	Ferimento	s.f. Ferimento com agulha.
agulheiro	estojo	s.m. Pequeno estojo ou almofada para guardar agulhas.
aipim	Planta	s.m. Bras. Planta de cujos tubérculos se aproveitam as propriedades alimentares, extraindo farinha, polvilho, bebidas ou servindo-os cozidos; mandioca, macaxeira. (Var.: aipi.) (Família das euforbiáceas.)
aipo	Verdura	s.m. Bot. Verdura muito apreciada da família da salsa e da pastinaca.  Os caules são duros e quebradiços e são comidos crus ou cozidos.
ajuste	Ação	s.m. Ação ou efeito de ajustar contas; pacto, acordo; convenção, contrato.
alabarda	Arma	s.f. Arma composta de uma haste rematada por um ferro pontiagudo, tendo de outro lado uma lâmina cortante.
alabastro	Rocha	s.m. Rocha branca, translúcida, semelhante ao mármore, porém menos resistente do que ele, e muito usada em trabalhos de escultura.
alamar	Cordão	s.m. Cordão ou trança de fio de seda, ouro etc., que guarnece a frente de uma peça de vestuário e o aperta, passando de um a outro lado da abotoadura.
alamar	Guarnição	Guarnição feita de cordão, galão ou cadarço, usada para prender uma parte da roupa em outra.
alamar	Peça	Peça de uniforme militar constituída de cordões entrelaçados, usada em certas corporações pelos oficiais de estado-maior e ajudantes-de-ordens. (Usa-se em geral no plural.)
alambique	Aparelho	s.m. Aparelho para destilar.
alameda	Rua,	s.f. Rua, avenida arborizada.
alamo	Árvore,	s.m. Árvore, geralmente alta, tronco reto e folhas ovais, lanceoladas. (Família das salicáceas.) O mesmo que choupo.
alarde	Ação	s.m. Ação ou efeito de alardear; alardo.
alarde	Comportamento	Comportamento que denota exibicionismo ou ostentação:  fazer alarde da fortuna.
alarido	Barulho	s.m. Barulho excessivo; que está repleto de ruídos; muitas vozes em simultâneo; gritaria, berreiro, algazarra.
alarma	Grito,	s.m. Grito, apelo às armas: soar o alarma.
alarma	Pavor	Pavor súbito, abalo, tumulto, confusão: alarma geral. (Var.: alarme.)
alaude	Instrumento	s.m. Instrumento musical em forma de meia pêra, com cravelhas situadas no braço em ângulo reto, usado na Europa nos séc. XVI e XVII.
alavanca	Barra	Mecânica. Barra que pode oscilar à volta de um ponto fixo (fulcro), para levantar grandes pesos.
